term,primary_coef,primary_se,primary_p,excl_entre_coef,excl_entre_se,excl_entre_p,coef_delta,sign_agrees,both_sig_05
Intercept,0.13536042754540273,0.011489633254425544,4.885593143520997e-32,0.13471792891060264,0.011459314897114067,6.562645439458335e-32,-0.0006424986348000927,True,True
is_provincial,0.0006152701670908951,0.0017166749491755234,0.7200379481579124,0.0008503890160150573,0.001749216347033499,0.6268577834699778,0.00023511884892416228,True,False
is_national,-0.0016240572384029074,0.00215787872378855,0.45167981295478576,-0.0020457042328930826,0.0022190151480353474,0.35658211020040753,-0.00042164699449017524,True,False
year_centered,0.00313171435450636,0.0006423182015779919,1.0845450068594675e-06,0.0029294950500246123,0.0006552923248351773,7.80309792542865e-06,-0.00020221930448174755,True,True
log_prior3y,0.004265764907192121,0.0007204558350230497,3.2013599787833043e-09,0.004801630073352669,0.0007382799394710244,7.831247514813006e-11,0.000535865166160548,True,True
log_prior_supervision,-0.00628746330798534,0.001468823784658581,1.863808631956191e-05,-0.005667545745826681,0.001495386304204598,0.0001506344479227924,0.0006199175621586584,True,True
