term,coef_primary,se_primary,p_primary,ci_low_primary,ci_high_primary,stars_primary,coef_subset_college,se_subset_college,z,p_subset_college,ci_low_subset_college,ci_high_subset_college,stars_subset_college,coef_crossed,se_crossed,z_crossed,p_crossed,ci_low_crossed,ci_high_crossed,stars_crossed,delta_crossed_vs_subset,delta_crossed_vs_primary,ci_excludes_zero_crossed,coef_collegeFE_advCluster,se_feCluster,z_feCluster,p_feCluster,ci_low_feCluster,ci_high_feCluster,stars_feCluster,delta_feCluster_vs_primary,ci_excludes_zero_feCluster
Intercept,0.1353604275454027,0.0114896332544255,4.8855931435209967e-32,0.1128411601711549,0.1578796949196505,***,0.13559793632518488,0.011819204977724757,11.472678287646383,1.8097001357349452e-30,0.11243272024294783,0.15876315240742195,***,0.10159164928720821,0.0037434695395260243,27.138366751628794,3.4736886953782037e-162,0.09425458381251446,0.10892871476190195,***,-0.034006287037976674,-0.03376877825819449,True,0.3488380096638172,0.010710583175136314,32.56946927722986,1.1101219762564834e-232,0.3278456523871293,0.36983036694050503,***,0.21347758211841447,True
is_national,-0.0016240572384029,0.0021578787237885,0.4516798129547857,-0.0058534218200337,0.0026053073432279,ns,-0.0017189403900157005,0.0023790135204938214,-0.722543346310572,0.4699604854209175,-0.006381721208917433,0.0029438404288860314,ns,0.001516540029337292,0.0026405073360882846,0.5743366089578578,0.5657400404824828,-0.0036587592503095462,0.00669183930898413,ns,0.003235480419352992,0.003140597267740192,False,-0.0019319100179689408,0.0026309474330843915,-0.7343020212699826,0.4627646862838496,-0.007088472232032452,0.00322465219609457,ns,-0.0003078527795660408,False
is_provincial,0.0006152701670908,0.0017166749491755,0.7200379481579124,-0.0027493509064552,0.003979891240637,ns,-0.00012107783866175198,0.0018242762314306983,-0.06637034270122351,0.9470829812212261,-0.003696593550118377,0.003454437872794873,ns,0.0019973825955778633,0.0019808258744023785,1.0083584939945718,0.3132823911156639,-0.001884964777895859,0.005879729969051586,ns,0.002118460434239615,0.0013821124284870633,False,-0.00021819411435777467,0.001913569213810728,-0.11402467848197538,0.909218230426923,-0.003968720855351427,0.003532332626635878,ns,-0.0008334642814485746,False
log_prior3y,0.0042657649071921,0.000720455835023,3.2013599787833043e-09,0.0028536974180952,0.005677832396289,***,0.004411727995649408,0.000769101724884852,5.736208687231746,9.681935459334889e-09,0.0029043163144274655,0.005919139676871351,***,0.018285399018615454,0.0013331625416983356,13.715806172682749,8.165373370776812e-43,0.01567244845134884,0.02089834958588207,***,0.013873671022966046,0.014019634111423353,True,0.0042644440667905055,0.0009834697010469118,4.336121450666928,1.4501883756717427e-05,0.0023368788728521843,0.006192009260728827,***,-1.3208404015946362e-06,True
log_prior_supervision,-0.0062874633079853,0.0014688237846585,1.863808631956191e-05,-0.0091663050255519,-0.0034086215904187,***,-0.005442505084207684,0.001524261928109115,-3.570583889711952,0.00035618635356207153,-0.00843000356630713,-0.002455006602108237,***,-0.0136223299572767,0.0022466259187555156,-6.063461586351939,1.3322261164152279e-09,-0.01802563584477172,-0.00921902406978168,***,-0.008179824873069015,-0.0073348666492914,True,-0.005260198517531883,0.0018061158840040196,-2.9124368840998334,0.003586206662951534,-0.008800120602085484,-0.0017202764329782823,**,0.001027264790453417,True
year_centered,0.0031317143545063,0.0006423182015779,1.0845450068594675e-06,0.0018727938127989,0.0043906348962137,***,0.002652640590121891,0.0006853881858982226,3.8702747504255894,0.00010871276326654445,0.0013093044303321313,0.00399597674991165,***,0.005518156454673131,0.0010233116284252605,5.392449671626262,6.95035699955906e-08,0.0035125025179985865,0.007523810391347676,***,0.0028655158645512404,0.0023864421001668313,True,0.0025656981881991697,0.0007946852182538244,3.2285716775213498,0.0012441007709630258,0.0010081437813753216,0.004123252595023018,**,-0.0005660161663071303,True
