term,primary_coef,primary_se,primary_p,excl2022_coef,excl2022_se,excl2022_p,coef_delta,sign_agrees,sig_classification_same
Intercept,0.13536042754540273,0.011489633254425544,4.885593143520997e-32,0.13448880636679628,0.0114502332563806,7.447361891116304e-32,-0.000871621178606452,True,True
is_provincial,0.0006152701670908951,0.0017166749491755234,0.7200379481579124,0.001657808460872239,0.0017770557077295519,0.3508735808601048,0.0010425382937813438,True,True
is_national,-0.0016240572384029074,0.00215787872378855,0.45167981295478576,-0.002121146223578399,0.002281987724558478,0.3526212556256514,-0.0004970889851754914,True,True
year_centered,0.00313171435450636,0.0006423182015779919,1.0845450068594675e-06,0.0028514353576476643,0.0006567141417048985,1.4120861005694097e-05,-0.00028027899685869554,True,True
log_prior3y,0.004265764907192121,0.0007204558350230497,3.2013599787833043e-09,0.004343215747810403,0.0007497954267758409,6.933214918765538e-09,7.745084061828219e-05,True,True
log_prior_supervision,-0.00628746330798534,0.001468823784658581,1.863808631956191e-05,-0.004937810867606008,0.0015784201585923039,0.0017580580950764468,0.0013496524403793318,True,True
