term,coef_primary,se_primary,p_primary,ci_low_primary,ci_high_primary,stars_primary,coef_loo,se_loo,p_loo,ci_low_loo,ci_high_loo,stars_loo,delta_coef
Group Var,2.8108056293066443,0.6648519358964036,2.3607477624312384e-05,1.5077197798979607,4.113891478715328,***,2.811280341360293,0.662370286134396,2.1930320805804673e-05,1.5130584361073864,4.109502246613199,***,0.00047471205364857383
Intercept,0.13536042754540273,0.011489633254425544,4.885593143520997e-32,0.11284116017115493,0.15787969491965054,***,0.1305397495387598,0.012140929771427762,5.79658920078881e-27,0.10674396444793127,0.15433553462958832,***,-0.004820678006642931
is_national,-0.0016240572384029074,0.00215787872378855,0.45167981295478576,-0.005853421820033721,0.0026053073432279056,ns,-0.0009108169943570706,0.002280013274353923,0.6895404326786276,-0.005379560896364001,0.0035579269076498592,ns,0.0007132402440458368
is_provincial,0.0006152701670908951,0.0017166749491755234,0.7200379481579124,-0.0027493509064552583,0.003979891240637049,ns,0.0009801782203241439,0.0018138351039738148,0.588928152707968,-0.0025748732573589975,0.004535229698007286,ns,0.0003649080532332488
log_prior3y,0.004265764907192121,0.0007204558350230497,3.2013599787833043e-09,0.0028536974180952126,0.005677832396289029,***,0.003818251442145846,0.0007612933833446303,5.290133464837293e-07,0.0023261438291217254,0.005310359055169966,***,-0.000447513465046275
log_prior_supervision,-0.00628746330798534,0.001468823784658581,1.863808631956191e-05,-0.009166305025551973,-0.003408621590418705,***,-0.005704162837762456,0.0015519678965459807,0.0002374410679232236,-0.008745964020154963,-0.0026623616553699495,***,0.0005833004702228833
year_centered,0.00313171435450636,0.0006423182015779919,1.0845450068594675e-06,0.0018727938127989572,0.004390634896213762,***,0.00253111534568861,0.0006786557895067074,0.00019178318267657548,0.0012009744403558677,0.0038612562510213526,***,-0.0006005990088177498
